"","row","column","n_celulas","n_amas.x","n_cels_infec","mean_ama_cel","composto","conc","pop","n_amas.y","corrected_ama","ama_per_cell","experiment","gene"
"146","C",6,1911,3877,962,2.029,"MILT",1.25,"REF",752,3125,3.24844074844075,"EXP 3","GSH1"
"147","D",6,1412,1161,532,0.8222,"MILT",2.5,"REF",483,678,1.27443609022556,"EXP 3","GSH1"
"148","E",6,1211,848,419,0.7002,"MILT",5,"REF",723,125,0.298329355608592,"EXP 3","GSH1"
"149","F",6,1504,1690,721,1.124,"MILT",10,"REF",1340,350,0.485436893203884,"EXP 3","GSH1"
"150","G",6,1695,1915,821,1.13,"MILT",20,"REF",1501,414,0.504263093788063,"EXP 3","GSH1"
"151","G",7,1149,1980,625,1.723,"MILT",20,"C85",1501,479,0.7664,"EXP 3","GSH1"
"152","F",7,1400,3199,792,2.285,"MILT",10,"C85",1340,1859,2.34722222222222,"EXP 3","GSH1"
"153","E",7,1166,2034,645,1.744,"MILT",5,"C85",723,1311,2.03255813953488,"EXP 3","GSH1"
"154","D",7,1602,6883,925,4.297,"MILT",2.5,"C85",483,6400,6.91891891891892,"EXP 3","GSH1"
"155","C",7,1987,16384,1352,8.246,"MILT",1.25,"C85",752,15632,11.5621301775148,"EXP 3","GSH1"
"156","B",7,1647,14602,1210,8.866,"MILT",0,"C85",779,13823,11.4239669421488,"EXP 3","GSH1"
"157","B",8,1103,779,373,0.7063,"MILT",0,"THP-1",779,0,0,"EXP 3","GSH1"
"158","C",8,1244,752,401,0.6045,"MILT",1.25,"THP-1",752,0,0,"EXP 3","GSH1"
"159","D",8,954,483,287,0.5063,"MILT",2.5,"THP-1",483,0,0,"EXP 3","GSH1"
"160","E",8,994,723,329,0.7274,"MILT",5,"THP-1",723,0,0,"EXP 3","GSH1"
"161","F",8,1216,1340,586,1.102,"MILT",10,"THP-1",1340,0,0,"EXP 3","GSH1"
"162","G",8,1353,1501,651,1.109,"MILT",20,"THP-1",1501,0,0,"EXP 3","GSH1"
"163","G",9,1499,4464,955,2.978,"MILT",20,"C6",1501,2963,3.10261780104712,"EXP 3","GSH1"
"164","F",9,1325,6352,920,4.794,"MILT",10,"C6",1340,5012,5.44782608695652,"EXP 3","GSH1"
"165","E",9,1090,7193,811,6.599,"MILT",5,"C6",723,6470,7.97780517879162,"EXP 3","GSH1"
"166","D",9,1069,7208,748,6.743,"MILT",2.5,"C6",483,6725,8.99064171122995,"EXP 3","GSH1"
"167","C",9,1242,11872,880,9.559,"MILT",1.25,"C6",752,11120,12.6363636363636,"EXP 3","GSH1"
"168","B",9,1256,14880,1032,11.85,"MILT",0,"C6",779,14101,13.6637596899225,"EXP 3","GSH1"
"169","B",10,1201,7794,865,6.49,"MILT",0,"C67",779,7015,8.10982658959538,"EXP 3","GSH1"
"170","C",10,1609,8437,1118,5.244,"MILT",1.25,"C67",752,7685,6.87388193202147,"EXP 3","GSH1"
"171","D",10,1408,2223,659,1.579,"MILT",2.5,"C67",483,1740,2.64036418816388,"EXP 3","GSH1"
"172","E",10,1068,1448,505,1.356,"MILT",5,"C67",723,725,1.43564356435644,"EXP 3","GSH1"
"173","F",10,1316,2299,694,1.747,"MILT",10,"C67",1340,959,1.38184438040346,"EXP 3","GSH1"
"174","G",10,1263,2645,735,2.094,"MILT",20,"C67",1501,1144,1.55646258503401,"EXP 3","GSH1"
"175","G",11,1218,1877,677,1.541,"MILT",20,"C58",1501,376,0.555391432791728,"EXP 3","GSH1"
"176","F",11,1063,1979,625,1.862,"MILT",10,"C58",1340,639,1.0224,"EXP 3","GSH1"
"177","E",11,805,1270,444,1.578,"MILT",5,"C58",723,547,1.23198198198198,"EXP 3","GSH1"
"178","D",11,1054,1536,509,1.457,"MILT",2.5,"C58",483,1053,2.06876227897839,"EXP 3","GSH1"
"179","C",11,1361,9572,994,7.033,"MILT",1.25,"C58",752,8820,8.87323943661972,"EXP 3","GSH1"
